,target_adm,SURVEYID,MATCHED_ADM,score_sort,score_partial,ADM_012,GID_2
0,afghanistan - daykundi - ishtarlay,afgh38.csv,afghanistan - daykundi - shahristan,85,54,afghanistan - daykundi - shahristan,AFG.6.4_1
0,afghanistan - laghman - mihtariam,afgh39.csv,afghanistan - laghman - mihtarlam,97,205,afghanistan - laghman - mihtarlam,AFG.20.4_1
0,afghanistan - laghman - qarghayi,afgh39.csv,afghanistan - laghman - qarghayi,100,206,afghanistan - laghman - qarghayi,AFG.20.5_1
0,afghanistan - nangarhar - behsud,afgh40.csv,afghanistan - nangarhar - hisarak,84,219,afghanistan - nangarhar - hisarak,AFG.22.8_1
0,afghanistan - nangarhar - kama rodat,afgh40.csv,afghanistan - nangarhar - rodat,92,228,afghanistan - nangarhar - rodat,AFG.22.17_1
0,afghanistan - nangarhar - dara,afgh40.csv,afghanistan - nangarhar - kama,92,221,afghanistan - nangarhar - kama,AFG.22.10_1
0,afghanistan - nangarhar - nur,afgh40.csv,afghanistan - nangarhar - lal pur,89,224,afghanistan - nangarhar - lal pur,AFG.22.13_1
1,afghanistan - nangarhar - nur,afgh40.csv,afghanistan - nangarhar - shinwar,89,230,afghanistan - nangarhar - shinwar,AFG.22.19_1
0,afghanistan - ghor - pasaband,afgh41.csv,afghanistan - ghor - pasaband,100,95,afghanistan - ghor - pasaband,AFG.10.3_1
0,afghanistan - ghor - shahrak tula,afgh41.csv,afghanistan - ghor - shahrak,91,97,afghanistan - ghor - shahrak,AFG.10.5_1
0,afghanistan - ghor - chaghcharan,afgh41.csv,afghanistan - ghor - chaghcharan,100,93,afghanistan - ghor - chaghcharan,AFG.10.1_1
0,afghanistan - kabul - kabul,afgh42.csv,afghanistan - kabul - kabul city,90,143,afghanistan - kabul - kabul city,AFG.14.6_1
0,afghanistan - bamyan - sayghan,afgh43.csv,afghanistan - bamyan - shibar,86,48,afghanistan - bamyan - shibar,AFG.5.3_1
0,afghanistan - bamyan - yakawlang,afgh43.csv,afghanistan - bamyan - yakawlang,100,50,afghanistan - bamyan - yakawlang,AFG.5.5_1
0,afghanistan - bamyan - panjab,afgh43.csv,afghanistan - bamyan - panjab,100,47,afghanistan - bamyan - panjab,AFG.5.2_1
0,afghanistan - kabul - kabul,afgh44.csv,afghanistan - kabul - kabul city,90,143,afghanistan - kabul - kabul city,AFG.14.6_1
0,angola - cuando cubango - menongue,ango19.csv,angola - cuando cubango - menongue,100,2435,angola - cuando cubango - menongue,AGO.5.7_1
3,angola - cuando cubango - menongue,ango19.csv,angola - cuando cubango - menongue,100,2436,angola - cuando cubango - menongue,AGO.5.7_1
6,angola - cuando cubango - menongue,ango19.csv,angola - cuando cubango - menongue,100,2437,angola - cuando cubango - menongue,AGO.5.7_1
0,bangladesh - barisal - barguna,bang01.csv,bangladesh - barisal - barguna,100,11940,bangladesh - barisal - barguna,BGD.1.1_1
46,bangladesh - barisal - barguna,bang01.csv,bangladesh - barisal - barguna,100,11941,bangladesh - barisal - barguna,BGD.1.1_1
92,bangladesh - barisal - barguna,bang01.csv,bangladesh - barisal - barguna,100,11942,bangladesh - barisal - barguna,BGD.1.1_1
138,bangladesh - barisal - barguna,bang01.csv,bangladesh - barisal - barguna,100,11943,bangladesh - barisal - barguna,BGD.1.1_1
184,bangladesh - barisal - barguna,bang01.csv,bangladesh - barisal - barguna,100,11944,bangladesh - barisal - barguna,BGD.1.1_1
0,bangladesh - rangpur - kurigram,bang02.csv,bangladesh - rangpur - kurigram,100,16348,bangladesh - rangpur - kurigram,BGD.6.3_1
75,bangladesh - rangpur - kurigram,bang02.csv,bangladesh - rangpur - kurigram,100,16349,bangladesh - rangpur - kurigram,BGD.6.3_1
150,bangladesh - rangpur - kurigram,bang02.csv,bangladesh - rangpur - kurigram,100,16350,bangladesh - rangpur - kurigram,BGD.6.3_1
225,bangladesh - rangpur - kurigram,bang02.csv,bangladesh - rangpur - kurigram,100,16351,bangladesh - rangpur - kurigram,BGD.6.3_1
300,bangladesh - rangpur - kurigram,bang02.csv,bangladesh - rangpur - kurigram,100,16352,bangladesh - rangpur - kurigram,BGD.6.3_1
0,bangladesh - rangpur - kurigram,bang03.csv,bangladesh - rangpur - kurigram,100,16348,bangladesh - rangpur - kurigram,BGD.6.3_1
75,bangladesh - rangpur - kurigram,bang03.csv,bangladesh - rangpur - kurigram,100,16349,bangladesh - rangpur - kurigram,BGD.6.3_1
150,bangladesh - rangpur - kurigram,bang03.csv,bangladesh - rangpur - kurigram,100,16350,bangladesh - rangpur - kurigram,BGD.6.3_1
225,bangladesh - rangpur - kurigram,bang03.csv,bangladesh - rangpur - kurigram,100,16351,bangladesh - rangpur - kurigram,BGD.6.3_1
300,bangladesh - rangpur - kurigram,bang03.csv,bangladesh - rangpur - kurigram,100,16352,bangladesh - rangpur - kurigram,BGD.6.3_1
0,bangladesh - rangpur - kurigram,bang04.csv,bangladesh - rangpur - kurigram,100,16348,bangladesh - rangpur - kurigram,BGD.6.3_1
75,bangladesh - rangpur - kurigram,bang04.csv,bangladesh - rangpur - kurigram,100,16349,bangladesh - rangpur - kurigram,BGD.6.3_1
150,bangladesh - rangpur - kurigram,bang04.csv,bangladesh - rangpur - kurigram,100,16350,bangladesh - rangpur - kurigram,BGD.6.3_1
225,bangladesh - rangpur - kurigram,bang04.csv,bangladesh - rangpur - kurigram,100,16351,bangladesh - rangpur - kurigram,BGD.6.3_1
300,bangladesh - rangpur - kurigram,bang04.csv,bangladesh - rangpur - kurigram,100,16352,bangladesh - rangpur - kurigram,BGD.6.3_1
0,bangladesh - chittagong - coxs bazar,bang05.csv,bangladesh - chittagong - cox's bazar,98,13027,bangladesh - chittagong - cox's bazar,BGD.2.6_1
74,bangladesh - chittagong - coxs bazar,bang05.csv,bangladesh - chittagong - cox's bazar,98,13028,bangladesh - chittagong - cox's bazar,BGD.2.6_1
